Gene_ID blastula_rep1	blastula_rep2	gastrula_rep1	gastrula_rep2	elongation_rep1	elongation_rep2	early_larva_rep1	early early_larva_rep2	mitraria_larva_rep1	mitraria_larva_rep2	competent_larva_rep1	competent_larva_rep2	juvenile_rep1
OFUSG02606.2	2.51673	3.81527	0.847922	2.322	1.74495	2.1527	0.926028	1.68895	0	1.25063	3.01998	2.07009	4.63132
OFUSG02606.3	0.192666	0.434634	0.113899	0.260431	0.147369	0.308011	0	0	0.0438556	0.0996526	0.357196	0.231104	0.370125
OFUSG02606.4	0	0.46481	0.548453	0.891694	0.555009	0.835174	0.382558	1.82261	2.28217	4.66452	5.20882	6.30254	6.87483
OFUSG02607.1	0	0.27793	0.138221	0.440405	0.198439	0.424582	0.141579	0.208111	0.229042	0.267828	0.85859	0.741154	1.47896
OFUSG02608.1	220.236	197.696	242.687	250.293	203.497	239.327	128.707	124.011	69.6664	74.8929	49.5565	64.0531	47.5795
OFUSG02609.1	55.9517	50.1777	10.8432	21.4052	12.4255	16.4282	6.30621	11.3096	8.3137	9.5143	12.3711	12.7026	12.411
OFUSG02610.1	0	0	0.0538459	0.56268	0.264355	1.7874	0	1.00805	0.282878	0.635108	0.181643	0.386185	0.763731
OFUSG02611.1	1.6338	4.60011	17.2922	12.451	6.14563	15.0873	3.57246	1.92669	6.08665	0.310077	1.79327	2.33488	4.83618
OFUSG02612.1	1.1794	0	1.2205	0.639877	2.36786	0	0	0	0	0.456487	0.603057	0.38873	0.389503
OFUSG02613.1	1.78344	0.328011	4.74456	1.11126	6.10782	3.49045	8.07583	7.87849	6.49719	7.18494	3.64413	2.92834	7.10325
OFUSG02614.1	25.1983	26.8331	34.7712	27.7084	35.8918	31.3052	30.5969	27.0732	13.2078	17.421	6.37886	13.4586	9.76613
OFUSG02615.1	19.4261	12.988	7.87033	7.35189	4.68425	5.12965	3.70915	3.07472	2.62984	2.95163	2.91962	2.59341	2.69449
OFUSG02616.1	164.738	136.245	53.7813	50.1768	29.5245	32.4431	32.9063	22.8058	20.4795	18.3132	13.0022	14.2485	10.9054
OFUSG02617.1	0.313275	0.112901	0.0698902	0.442149	0.243283	0.319478	0.0414635	0.165668	0.257531	0.208598	0.312251	0.200618	0.35396
OFUSG02618.1	0.168912	0	0.171922	0.23915	0.785947	0.4028	0.201884	0.481656	0.0601906	0.126459	0.0120366	0.0292592	0.00666575
OFUSG02619.1	0.133968	0.096823	0.676705	0.142014	0.222794	0.410268	0.372932	0.0424794	0.0948891	0.0334429	0.792318	0.174822	1.58635
OFUSG02620.1	0	0	0.0631521	0.130276	0.121494	0.0633436	0	0.231638	0.0653122	0.0456213	0.00649885	0.0317613	0.0072811
OFUSG02621.1	0.182947	0.714672	0.227855	0.483296	0.137105	0.20964	0.0815702	0.370359	0.0720586	0.394127	0.171602	0.680101	0.114286
OFUSG02622.1	41.966	40.496	10.0805	10.9275	6.43139	5.66798	2.98803	3.81505	4.27934	2.72678	4.60543	3.42682	3.08629
OFUSG02622.2	8.77154	9.74954	7.56214	5.5964	4.12576	4.05815	5.03568	3.74246	1.76037	3.55955	0.371797	1.5479	2.64616
OFUSG02623.1	5.03938	1.4047	0.643692	0	1.26632	1.99577	0	1.18279	0.716075	0	0.711176	0.518202	0.626796
OFUSG02624.1	44.0746	18.7273	69.6815	60.4318	70.6651	42.5912	42.3584	17.1024	30.2262	16.6263	68.2815	34.0228	44.0077
OFUSG02625.1	2.25154	0.62464	0.960755	0.482898	1.07254	0.644672	0.459737	0.352032	0.608016	0.461393	0.512169	0.326268	0.30434
OFUSG02626.1	49.2894	60.078	136.028	129.937	146.08	170.096	152.144	145.753	104.045	104.051	34.0791	47.8953	29.2531
OFUSG02627.1	16.6783	25.2561	11.364	16.4024	5.75991	8.73529	3.50844	4.82978	3.01291	4.18518	3.83333	2.84576	2.55974
OFUSG02628.1	4.00514	2.87885	4.66117	8.44052	7.08921	3.97957	8.82112	10.8329	16.6354	13.3564	16.7101	17.6986	17.6245
OFUSG02629.1	65.0368	38.4158	56.6312	44.8809	51.7767	49.7308	61.1281	42.5528	45.6063	32.9215	35.227	28.1382	35.2803
OFUSG02630.1	0	0.112876	0.46325	0.870561	0	0.20306	0.987483	0.858926	0.292405	0.306519	0.201138	1.76116	0.306956
OFUSG02631.1	0	0	2.22133e-09	0	1.84462e-09	1.85399e-09	0	7.85365e-09	0	3.19433e-09	0.109921	0.857151	0.0364302
OFUSG02631.2	0	0	0.0958496	0.150663	0.236227	0.145066	0.226088	0.225201	0.050386	0.531945	0.0864968	0.0868223	0.0185667
OFUSG02632.1	3.19978	1.60584	2.11878	4.22755	3.18173	2.76672	0.924123	1.70008	1.02315	2.02747	2.43167	1.76575	1.46486
OFUSG02632.2	0	0	0	0	0	0	0.170934	0	0	0	0	0	0.0555175
OFUSG02632.3	0	0.932553	0.43231	2.40661	0	0.755951	0	0.410192	0.089472	0.279	0.11543	0.720185	0.191196
OFUSG02633.1	3.98467	3.22113	0.565816	2.33625	0.455705	1.35843	1.19474	0.707296	1.2719	3.25688	19.6954	7.79429	5.76992
OFUSG02634.1	0	0	0	0	0.169939	0.24602	0	0.144156	0.575907	0.333848	0.566197	0.630305	1.10211
OFUSG02634.2	1.28801	2.87072e-05	0.0437983	7.57263e-10	7.72411e-06	0	0	3.0733e-10	1.87736	0	0.0191545	3.98937e-09	0.717877
OFUSG02634.3	3.64215	2.52295	1.32901	3.79102	1.61824	1.71922	0.526083	2.37759	0.358409	2.87285	2.01523	3.3528	0.760103
OFUSG02634.4	1.44641	3.17741	0.911776	3.29401	1.36741	2.22193	1.28967	2.32035	1.80209	2.35757	1.3658	0.959705	0.638612
OFUSG02635.1	0.238574	0.303743	0.215938	0.274969	0.151714	0.530134	0.232042	0.454595	0.318727	4.43689	0.516865	0.477792	0.927049
OFUSG02636.1	7.26529	8.51931	7.62911	14.366	7.98078	10.2841	7.03922	11.361	8.74683	12.9872	1.65537	3.93182	1.04211
OFUSG02637.1	0	0	0	0	0.0878106	0	0.0409798	0.3793	0.107361	0.329274	0	0	0
OFUSG02637.2	0.404348	0.134343	0.777316	1.28839	11.2998	11.4043	7.72612	14.0089	10.6105	12.5179	6.81439	6.98574	9.63716
OFUSG02637.3	0.307938	0.599081	0.875248	0.74602	7.46053	7.89711	10.6437	9.14999	8.54229	11.4103	5.05834	4.76818	7.88055
OFUSG02638.1	9.25568	17.7001	16.5254	27.7988	22.2192	25.7272	21.4672	35.0199	21.5477	25.875	9.41666	17.5129	13.2598
OFUSG02639.1	1.76978	0.528159	2.82687	1.80002	0.400316	1.89469	0.0965012	0.229065	0.435339	0.902188	2.6842	1.32446	2.8516
OFUSG02640.1	4.76792	4.77633	13.8229	13.0899	31.5841	27.3076	30.1229	29.993	54.025	58.143	32.1131	42.5016	8.70335
OFUSG02640.2	2.32708	5.03893	14.5383	8.11201	20.9982	12.7115	36.4692	16.7971	25.3051	26.0474	9.21258	7.65646	3.89201
OFUSG02641.1	234.391	201.104	85.4394	85.9749	27.6548	36.835	22.2184	18.5022	13.4569	19.4172	18.9388	18.295	16.3016
OFUSG02641.2	5.33448	2.55649	2.14767	2.69586	0	0	0	0	0	0	0.321498	0.340552	0
OFUSG02642.1	1.78734	1.39657	2.11988	2.80667	3.51353	2.4984	3.91264	3.88303	9.26556	7.29321	12.4669	12.1111	4.24483
OFUSG02643.1	1.6503	3.44001	2.17622	3.21526	2.07754	2.29189	1.19742	1.654	1.41715	1.17242	1.13362	3.38063	37.7746
OFUSG02644.1	76.7807	93.0651	69.1882	80.0985	45.4376	51.0007	37.9611	38.0433	31.7725	32.6386	14.6359	18.348	14.715
OFUSG02645.1	0	0	2.38907	0.85494	4.09444	1.55242	1.58745	0.24449	2.05286	2.17444	0	0	0
OFUSG02645.2	0	0	3.21549	4.13809	0.739025	4.5765	2.72178	3.90081	2.60213	3.27592e-05	4.08014	2.36229	5.60376
OFUSG02645.3	3.55367	18.8217	1.48883	6.73775	5.71127	6.43491	7.37555	9.46736	9.31039	10.1036	5.24098	7.3051	2.81729
OFUSG02645.4	0.222104	0.752868	0.339845	1.41082	1.77222	0.968247	1.0451	1.24455	3.22935	2.4574	4.93883	3.88632	6.26902
OFUSG02645.5	0	0	0	0.155472	0.710593	0	0.465374	0.807281	1.01712	1.30125	1.08229	1.36488	1.98163
OFUSG02646.1	31.5174	53.8882	50.7533	42.0944	36.4469	53.9369	43.6802	43.9853	34.4906	40.651	23.6117	30.8952	19.4762
OFUSG02647.1	4.1459	5.91784	6.79864	12.3355	12.2566	15.1429	12.8652	22.563	20.3054	19.5014	13.3283	14.728	11.1889
OFUSG02647.2	3.62632	4.74895	10.6641	5.01079	9.08056	5.81819	9.13666	2.27722	3.53837	6.24898	4.20134	3.63763	6.28188
OFUSG02647.3	1.1355	0.134881	0.538817	0.276541	2.1444	1.74517	3.83937	4.78192	6.85219	7.76739	4.47858	5.00437	5.40422
OFUSG02648.1	0.186434	0.0263962	0.381843	0.430215	3.33955	1.87554	1.94374	2.68605	2.12855	2.12473	10.7021	6.71427	26.1043
OFUSG02648.2	1.14559	0	0.99795	0.526047	0.829771	1.87002	1.83074	2.31679	1.60274	1.65066	3.6833	1.66638	9.19655
OFUSG02649.1	0	0	0	0	0	0	0	0	0	0	0	0	0
OFUSG02650.1	0.00479935	0	2.37	2.7944	3.91876	7.90622	5.60259	8.81247	4.23634	2.0444	4.23804	1.37436	2.35828
OFUSG02650.2	2.56855	1.88401	0	0	0	0.0384754	0.0517565	0.0666131	0	0.0197712	2.94517	1.37604	17.2642
OFUSG02650.3	1.18401	0	5.6203	3.66686	19.0111	4.3139	11.0845	3.96952	3.06796	2.88526	3.00717	2.96167	1.61799
OFUSG02650.4	0.0280112	0	0.0236646	0.112209	0	0	0.0811166	0.0697306	0.0531229	0.034971	2.93129	1.1426	9.17637
OFUSG02650.5	0.00679057	0.00706015	0	0	0	0.0384754	0.000247693	0	0.0508007	0.0134609	3.39504	3.11274	15.8251
OFUSG02651.1	0.0289954	0.125196	0.203016	1.13466	0.0289616	2.31847	0	1.08074	0.183317	0.825497	0.906854	0.619762	3.29847
OFUSG02652.1	0	0	0.0622317	0.0907813	0	0.105169	0	0.201583	0.0536819	0.231131	0.00522823	0.0620625	0.0322064
OFUSG02653.1	2.5363	1.68641	2.17773	2.94391	1.51351	3.68073	1.23974	3.37128	1.34933	1.96603	1.81879	3.15569	1.31942
OFUSG02653.2	2.73512	3.86933	2.71267	4.13198	3.53515	2.71815	2.42691	2.14892	2.20441	2.05859	1.21922	1.53747	1.3978
OFUSG02654.1	31.4405	41.4233	7.22207	10.2739	8.55127	11.0565	9.68079	11.2602	11.9432	10.6205	14.6708	21.1975	15.2008
OFUSG02655.1	4.33566	0.444704	5.58429	9.41479	1.58246	5.81963	1.9612	2.23188	1.80538	0.896953	0	0.385707	4.78536
OFUSG02656.1	1.71261	0.646453	3.03534	2.31143	0.984439	5.65966	0.788457	1.18881	0.566097	0.394293	0.105086	0.28984	1.64746
OFUSG02657.1	0.366526	0.270266	0	0	0.72831	0.376961	0	0.115608	0	0	0	0.0722502	0.193658
OFUSG02658.1	0	0	0	0.257416	0.708545	0.744483	0	0	0	0.178205	0	0.156558	0
OFUSG02659.1	0.0445565	0.0966043	0.13503	0.188927	0	0.0454831	0	0.16954	0.0473362	0	0.172492	0.0426406	0.36167
OFUSG02660.1	0.181879	0	0.643432	0.482063	0.136105	0.789133	0.16276	0.0865018	0	0.170257	0.0635357	0.0790896	2.75878
OFUSG02661.1	0	0	0	0	0	0	0	0.0212961	0	0	0	0.0065353	0
OFUSG02661.2	8.66217	7.39439	1.51286	3.89444	3.16979	3.84102	3.60609	4.9712	4.62369	3.67733	4.85227	6.24232	5.31784
OFUSG02662.1	1.38954	1.30763	4.26173	2.88686	4.7211	2.45462	6.87699	2.82034	7.386	3.73422	9.04777	1.81127	4.8709
OFUSG02663.1	0.015536	0.0649509	0.12481	0.204531	0.423993	0.507132	1.57895	4.12835	4.33287	5.47948	7.86215	5.58155	3.36743
OFUSG02663.2	1.06806	0.322799	0.79178	0.629293	2.21681	2.0617	3.86529	3.87283	4.68859	5.82281	8.6408	6.59539	5.65613
OFUSG02664.1	3.68252	3.07938	11.062	14.0813	16.9599	16.7573	14.015	14.7841	16.722	17.5559	14.3166	14.9316	10.1593
OFUSG02664.2	0	0	0.606728	0	2.97137	2.36359	1.79515	2.51306	2.49952	1.32511	0.80614	0.884006	0.902641
OFUSG02665.1	20.267	22.3441	17.3063	17.1171	22.6246	14.4099	30.5691	25.0928	41.1629	25.6041	21.759	21.8461	11.4894
OFUSG02666.1	22.3687	22.8701	26.6953	16.4225	28.014	23.2587	33.0229	20.4449	23.4191	23.6135	23.4528	25.2893	17.9297
OFUSG02667.1	3.87602	3.84001	7.16897	2.98969	2.43617	3.28316	3.18734	1.58678	2.1233	2.87082	1.72197	1.73641	0.821636
OFUSG02667.2	1.86144	8.75124	0.652592	1.31175	0.88158	1.71319	0.469637	0.723916	1.00521	0.933265	0.888253	1.54782	0.222451
OFUSG02667.3	8.22643	11.3439	5.40092	8.48	4.2627	4.74365	3.57476	4.25935	3.32657	4.42552	1.80132	2.94948	1.80174
OFUSG02668.1	6.27804	5.1444	0.84656	2.78522	1.56269	1.91271	1.70196	1.77397	1.69407	1.00623	2.26317	1.60595	1.78264
OFUSG02669.1	8.42534	8.65932	5.38546	2.96028	3.2966	4.07028	4.34175	3.59186	2.71985	2.19033	2.89334	3.84589	3.49299
OFUSG02670.1	4.82493	6.57503	5.40452	5.18687	5.66296	4.25542	2.38594	2.86967	3.60918	2.1329	4.53221	3.13514	3.46089
OFUSG02671.1	47.3589	47.5591	31.7681	36.7075	24.5232	24.351	14.3533	15.8086	12.612	8.55587	11.8814	13.4842	11.6523
OFUSG02672.1	43.4424	27.6553	38.5759	43.3197	28.283	37.0875	16.278	18.879	8.13838	6.73145	6.82959	8.77324	5.9677
OFUSG02673.1	0.940373	1.43575	4.35608	3.66919	3.83907	2.92289	1.88625	2.11463	1.08882	0.992394	0.984585	1.25781	1.46465
OFUSG02674.1	84.5951	56.6966	66.8064	62.7184	51.9209	68.7818	44.2285	48.2952	34.6913	43.2138	26.8427	37.2851	22.5896
OFUSG02675.1	4.89584	5.82362	1.12528	2.75788	0.818908	1.3306	0.193904	2.18622	3.54148	4.08156	1.86704	3.30773	0.922316
OFUSG02675.2	0	0.450577	8.95984	25.4955	4.28059	9.10287	2.17316	2.51303	1.40499e-08	0	0	0.0781453	0
OFUSG02676.1	131.895	153.613	54.343	47.5146	67.4133	49.4576	57.9367	49.1295	35.7036	31.155	24.5763	29.4999	30.1976
OFUSG02676.2	0.196656	0.931059	2.05135	0.379886	2.14403	0.845439	1.53121	1.031	1.12584	1.72799	1.58282	0.941862	2.53426
OFUSG02677.1	1.06856	0.341765	4.98732	3.16762	11.3076	6.718	12.1865	10.3807	12.7591	12.767	14.0204	10.8686	5.96857
OFUSG02678.1	8.63554	5.82609	9.04958	8.12028	12.9192	7.09688	11.9946	9.3936	5.76466	6.20309	8.08948	6.76666	33.8589
OFUSG02679.1	7.07635	16.4096	0.0137204	2.18314	0.537283	0.355422	0.647271	1.48684	3.36689e-05	0.84021	0.499317	0.289071	0.77636
OFUSG02679.2	11.1475	14.6389	18.9157	31.6227	25.7188	33.4073	14.3115	21.3326	14.7954	18.4504	17.7417	22.4996	12.2827
OFUSG02680.1	3.13758	6.52022	2.89967	6.00045	16.7397	15.166	13.7862	17.7844	11.2034	11.694	5.03627	6.28682	7.07861
OFUSG02681.1	47.1455	65.4094	12.6191	28.2145	6.82034	11.6595	3.87923	6.06426	3.89181	3.92398	2.53931	3.43316	2.19651
OFUSG02682.1	56.261	49.9569	14.8379	10.6681	8.71281	9.92274	8.04107	4.85025	4.12966	3.73866	4.56634	2.39121	4.46504
OFUSG02682.2	6.9447	14.664	4.80099	3.61298	4.59459	1.04322	2.3447	2.1078	3.09152	1.35361	3.37799	1.89791	3.35848
OFUSG02683.1	25.8705	20.0041	20.355	14.4953	20.1564	16.7523	14.8136	12.9186	13.8035	7.82417	8.07888	10.2604	6.60772
OFUSG02684.1	6.19985	12.618	6.15767	7.26069	13.2982	10.1198	16.2541	17.7634	26.1126	25.7032	40.1876	24.3289	28.5696
OFUSG02685.1	92.7335	86.8744	12.1186	16.0223	5.38279	5.80179	6.1599	5.82681	8.18697	6.38248	2.72071	5.57031	1.54684
OFUSG02686.1	4.88702	3.24319	5.17257	1.70142	1.45662	1.6335	0.294814	1.73412	1.35012	0.912212	0.354197	1.81658	1.23111
OFUSG02687.1	1.42939	0.443522	0.362491	0.92083	0.509175	0.521454	0.304823	0.194162	0.272107	0	0.2681	0.349996	0.0837918
OFUSG02688.1	2007.6	1886.23	2255.8	2371.61	1916.33	2089.71	1470.16	1509.43	1101.91	1093.82	516.605	925.091	346.285
OFUSG02689.1	289.805	261.648	394.41	454.31	421.412	454.187	317.193	325.534	176.329	188.815	84.9886	111.211	74.8761
OFUSG02690.1	60.4961	33.2053	62.1412	15.5112	4.35731	8.72785e-05	5.58526	0.989456	7.95839	1.0565	3.03261	2.74607	5.61785
OFUSG02690.2	17.6627	33.2053	52.9857	93.7479	113.453	138.429	114.206	114.83	46.4239	67.6158	24.6941	34.5376	20.6014
OFUSG02690.3	0	0	2.25092	4.21057	0.925948	0.988968	3.08469	1.92585	0	0	0	0	1.32632
OFUSG02691.1	2.61517	2.258	1.44208	3.01551	1.82934	2.51206	1.27733	2.98377	2.32677	2.99055	3.0431	3.61046	3.8689
OFUSG02691.2	0.0750541	0	0	0	0	0	0.234003	0	0	0	0	0	0
OFUSG02691.3	0	0	0.0240743	0.24627	0	0.189804	1.93841e-10	0.282229	0	0.109868	0.43831	0.699707	0.670156
OFUSG02691.4	0.420207	0	0	0	0	0	0.0519825	0.632271	0.275905	0.177903	1.31086	0.555521	0.228262
OFUSG02691.5	0.156438	0	0.331774	0.0398418	1.06268	0.0481434	0.655671	0.290302	0.109108	0.156189	0.216925	0.240887	0.228346
OFUSG02692.1	0.120634	0.222513	1.30037	2.00149	12.248	7.52625	16.1116	17.0643	13.6982	16.4284	12.3157	11.062	0.647865
OFUSG02693.1	6.19414	3.6147	5.9292	4.85009	13.4646	10.8861	12.1019	10.8703	10.7238	8.83856	7.17631	5.47127	4.67662
OFUSG02694.1	0.314609	0.123479	0.057201	0.0907424	0.457091	0.524682	1.36145	1.11669	1.08471	0.8357	0.257394	0.300426	0.122225
OFUSG02695.1	0.154745	0	0.38934	0.573633	0.310979	0.515495	0.507217	0.294522	0.409724	0.521579	0.16287	0.358623	0.709601
OFUSG02696.1	1.22198	0	0	0.29655	0	0.954086	0	0	0	0.20807	0	0.0300459	1.10629
OFUSG02696.2	30.8275	53.5415	80.8233	93.1053	84.3961	107.156	71.4306	74.1065	41.4009	54.9438	38.4526	45.5474	39.3707
OFUSG02697.1	0	0	0	0	0	0	0	0	0	0	0.139299	0	0.0505989
OFUSG02698.1	43.8849	37.4893	12.3188	24.777	11.7718	16.5513	10.9221	15.1481	13.9731	15.4743	22.5901	17.756	16.575
OFUSG02699.1	4.493	1.34325	3.34082	0.650476	2.65488	1.74885	0.732616	1.26414	0.268303	0.181338	0.339626	0.389938	0.165044
OFUSG02700.1	3.29289	0.658554	6.5117	0.642639	2.58792	1.48414	2.51549	0.287364	0.99863	0.226382	1.15476	0.298117	1.11612
OFUSG02701.1	89.9228	91.3341	110.507	183.014	138.393	152.789	89.6066	134.243	147.062	123.792	189.492	185.21	133.977
OFUSG02702.1	4.7128	4.03459	9.28903	6.86275	7.92091	6.92026	9.96144	8.26857	8.38328	7.10989	6.79137	5.95661	4.75599
OFUSG02702.2	0	0.198239	8.70114e-09	0.147859	0.0971969	0	0.342625	0.730749	1.7906	2.17981	1.4232	2.2839	0.179788
OFUSG02702.3	0.540228	0.156058	0.890682	0.69364	0.967568	0.431963	0.693915	0.887262	0.764131	0.450244	0.471148	0.260617	0.190072
OFUSG02703.1	1.35383	1.8712	2.47564	2.66433	0.605348	0.375402	0.40256	0	0.16418	0.313226	0.412967	0.593438	0.561181
OFUSG02703.2	0	0.167169	8.43736	10.2316	10.8334	7.52432	3.09952	5.05674	3.50712	3.74693	4.61833	4.77548	5.13836
OFUSG02704.1	4.80497	2.95548	3.11495	3.10374	3.14891	2.46489	6.38496	6.99295	6.71177	8.32706	9.04429	6.10358	17.7869
OFUSG02705.1	0	0	0.177603	0	0.0428465	0	0	0	0	0	0	0	0
OFUSG02705.2	9.59979	10.9121	1.92931	3.7456	0.755609	1.18662	6.02218	5.45173	4.85345	5.44865	3.87916	2.7515	9.55168
OFUSG02706.1	1.98728	0	0.907676	0.32771	1.3692	0	0.96371	0.104444	0.235824	0	3.19512	0.230886	2.36941
OFUSG02706.2	0.118468	0.938989	0.762705	1.38643	0.81476	2.40787	0.657682	1.17322	0.585757	3.36185	2.39249	2.93892	1.66351
OFUSG02707.1	0	0	0	0	0.463576	0	0	0	0.265385	0	1.40664	0.422601	1.61334
OFUSG02708.1	0.428004	0.656738	2.05794	0.182539	2.38464	2.10461	3.18652	1.13699	2.41478	1.02384	3.38971	1.74584	3.77611
OFUSG02709.1	0	1.42159	3.15313	3.50619	6.50546	6.78223	3.20275	2.4162	4.36802	5.45894	14.1252	6.67836	9.11452
OFUSG02710.1	5.34596	2.34454	7.19831	6.19011	13.6609	8.54771	8.87811	5.07348	3.88705	14.5743	12.0869	8.7813	8.31673
OFUSG02711.1	0	0	0	0	0	0	0	0	0	0	0	0	0
OFUSG02711.2	0.410059	0.894916	0.280417	0.654298	0.408495	1.88814	1.55492	0.389486	0.294064	2.60807	12.5531	5.1305	3.08871
OFUSG02712.1	0.141408	0.221991	0.193623	0.240955	0.22843	0.641849	0.438908	0.290388	0.397385	0.61966	13.8966	4.29975	5.16078
OFUSG02713.1	1.07808	1.4294	1.99673	3.17875	2.5432	2.78553	1.916	2.14988	2.44953	2.14994	2.03627	1.55673	12.068
OFUSG02714.1	0.127661	0.0689566	0	0	8.24184e-08	0	0	0.17693	0.033681	0.0717279	0	0	0
OFUSG02714.2	0	0	0	0.104471	0.548617	0.516962	0.155378	0.187698	0	0	4.25568	9.47667	8.48132
OFUSG02715.1	0.640207	0	5.05967	2.67792	29.9588	22.395	38.3365	26.7097	24.6134	27.5272	14.4868	12.8137	8.6353
OFUSG02715.2	0.306877	0.809525	9.16123	5.08047	71.6852	59.6467	79.3765	88.9735	62.3503	50.2239	34.4347	35.4274	9.76049
OFUSG02716.1	0.217451	0	1.18383	0.703534	0	0.678708	0	0.410784	0.492577	0.811658	0.262298	0.466387	0.35799
OFUSG02717.1	22.6746	36.3728	18.5251	25.6263	13.7599	16.9949	7.23341	10.8755	6.51589	7.07865	3.94367	5.45838	3.9011
OFUSG02718.1	0.452866	0.189906	0.125521	0.425509	0.251361	0.538284	0.26932	0.0239644	0.132287	0.113108	0.188566	0.0837981	0.185383
OFUSG02719.1	4.91629	2.4842	2.94354	0.823137	1.63123	1.21018	3.66844	1.18462	3.75546	0.540771	4.21596	1.02649	2.83126
OFUSG02719.2	21.0426	17.8406	29.9457	17.2582	20.4008	14.2546	17.0643	9.77517	12.4601	8.88173	17.7351	9.29289	15.5527
OFUSG02720.1	0.28594	0	0	0.305716	0	0.0977913	0.0850339	0	0	0	0	0.0256511	0
OFUSG02721.1	3.52787	4.02165	5.33804	7.04399	7.03024	8.09819	5.61584	7.66414	5.41931	3.71281	3.44183	3.19216	5.33746
OFUSG02722.1	13.0242	22.5163	3.78521	6.89634	3.92207	8.31178	5.56867	4.80213	6.36501	7.92893	11.7178	10.173	12.9931
OFUSG02722.2	0.143327	2.47063	1.21895	2.70142	0.662267	0.718876	0.923548	1.46247	0.304807	2.57408	0.513326	1.73111	1.00586
OFUSG02723.1	57.9454	46.2598	86.0339	115.665	73.1795	76.9967	43.95	55.6921	38.3175	45.4377	66.0194	57.4137	19.8575
OFUSG02724.1	6.76241	11.9751	2.32866	6.54209	1.41393	5.85118	1.82456	1.97002	2.91226	5.18553	3.90916	8.89536	3.60595
OFUSG02725.1	179.15	199.163	82.5252	143.136	67.3263	77.5064	40.7327	51.8405	32.805	39.3665	41.441	37.6988	49.7173
OFUSG02726.1	2.26223	2.41842	6.37074	21.3751	13.3456	20.3325	7.26546	18.6211	11.9117	10.4699	7.89609	12.4033	8.65121
OFUSG02727.1	0.516597	0.695624	1.11429	1.54943	2.77481	1.49069	1.43289	1.88671	0.858514	0.774229	2.88785	3.53343	1.63266
OFUSG02728.1	21.2954	18.0259	10.265	19.5965	7.54512	7.97102	5.31931	11.0719	6.39804	9.97516	8.90425	6.32664	12.4349
OFUSG02728.2	0.000331097	0	7.64793	6.7057	7.12496	11.472	5.61063	4.99032	6.4161	4.04582	5.58369	4.31133	0.51233
OFUSG02728.3	54.0353	43.3861	1.67334	6.06296	3.54022e-05	1.60635e-05	0.353149	0.381469	0.00929423	7.56068e-08	0.0206129	0	0
OFUSG02728.4	0.882225	4.1217	0.603168	2.85643	0.265775	0.39721	1.7222	1.58755	0.72479	1.19968	4.11892	1.92392	6.72655
OFUSG02728.5	24.376	45.8049	7.8508	20.6689	8.63193	5.86827	3.68423	8.04037	9.46553	6.07307	3.33627	5.7299	3.42029
OFUSG02729.1	1.96369	1.84844	0.0899404	0.0953984	0	0	0.0268354	0.0430061	0	0	0.982013	0.447558	1.80177
OFUSG02730.1	2.86891	5.41492	4.11317	5.98685	6.2388	6.13121	12.6548	10.2973	40.1027	22.9596	14.3226	22.7299	9.49911
OFUSG02731.1	134.353	96.9846	96.8661	86.0612	57.1389	42.57	58.4209	29.4163	9.93659	10.3994	6.2048	0.703321	0.717396
OFUSG02732.1	407.619	406.336	97.9948	147.49	85.9392	103.817	61.6771	76.5483	44.0467	54.6737	49.9198	41.5613	57.9484
OFUSG02733.1	162.038	144.846	194.763	150.745	157.443	150.782	108.628	96.0737	45.3501	65.7527	38.4799	57.4552	29.4547
OFUSG02734.1	7.84593	10.7328	7.1666	7.31446	5.26921	7.03338	4.38808	5.72294	6.23104	6.71341	8.92629	8.44248	10.2506
OFUSG02735.1	0.0876778	0.188437	8.85301	14.7088	85.4397	102.571	185.648	232.738	245.895	295.484	210.379	165.215	845.132
OFUSG02736.1	11.1383	12.9128	16.5324	21.5609	17.899	22.6534	24.5783	21.1624	18.9362	18.837	11.3963	13.795	13.7766
OFUSG02737.1	6.43992	5.60274	7.3817	12.6036	8.24867	8.19657	7.80126	10.4737	11.4044	11.2257	10.404	12.9339	8.29096
OFUSG02737.2	0.467074	0.896565	0	0	0.25447	0.163328	0.181121	0	0	0	0.134902	0.152529	0.177922
OFUSG02737.3	0.367318	0	0	0	0	0	0	0.511114	0.325835	0	0.125393	0.301166	1.46416
OFUSG02738.1	1740.12	1649.03	2299.06	1746.89	1823.47	1885.57	2053.45	1726.46	1711.23	1805.69	2977.61	2871.63	2686.49
OFUSG02739.1	48.8887	64.3023	11.4617	16.6778	12.0503	10.9196	15.5536	18.9013	17.0682	17.8621	9.55472	15.4953	6.55909
OFUSG02740.1	88.9006	78.3936	104.849	78.9872	78.2519	74.1411	69.4201	59.6829	53.0652	45.8223	31.8927	34.9704	29.4694
OFUSG02741.1	0	0.216141	0.348962	0.424208	0.836792	0.852136	2.32678	1.35627	3.6109	4.5045	11.8416	6.00668	29.0957
OFUSG02742.1	59.3614	34.2232	43.3421	34.263	27.2302	28.8747	29.1168	19.6301	19.162	13.8896	15.0683	14.4002	16.1032
OFUSG02743.1	35.6999	31.3059	10.151	29.2535	10.2787	16.3063	5.90471	14.1812	8.01139	9.53803	5.17916	6.79937	5.19722
OFUSG02744.1	86.3428	76.7101	120.494	122.757	132.014	128.544	98.0336	119.361	76.867	75.4877	32.8667	52.7544	52.0144
